,L1,L2
1992-12-08,9.623830502090228e-07,1.6626696834744766e-05
1992-12-09,1.0211965284127987e-06,1.6841718021801572e-05
1992-12-10,1.0738400069481507e-06,1.7438371032947908e-05
1992-12-11,1.0738400069481507e-06,1.7438371032947908e-05
1992-12-14,9.202017415292412e-07,1.5890062032508543e-05
1992-12-15,9.202017415292412e-07,1.5890062032508543e-05
1992-12-16,9.690937698087618e-07,1.606370238537542e-05
1992-12-17,9.690937698087618e-07,1.606370238537542e-05
1992-12-18,9.690937698087618e-07,1.606370238537542e-05
1992-12-21,1.1958028360091718e-06,1.7653798356302547e-05
1992-12-22,1.3265642461813538e-06,1.849112660667632e-05
1992-12-23,1.2847956948386984e-06,1.8329264275427287e-05
1992-12-24,1.1803370742552978e-06,1.7660754262401466e-05
1992-12-28,1.2663468587266126e-06,1.9365567835700855e-05
1992-12-29,1.1255934490472421e-06,1.8152870139447595e-05
1992-12-30,1.1255934490472421e-06,1.8152870139447595e-05
1992-12-31,9.168624891717796e-07,1.5972441546912733e-05
1993-01-04,9.189219214613282e-07,1.5974402035171826e-05
1993-01-05,8.047737761656268e-07,1.482996092296139e-05
1993-01-06,1.0434011253628986e-06,2.0329303637089872e-05
1993-01-07,1.0434011253628986e-06,2.0329303637089872e-05
1993-01-08,8.081033374977873e-07,1.8188231816047623e-05
1993-01-11,8.207419107185882e-07,1.821421441759257e-05
1993-01-12,1.4346354244778642e-06,2.5034841413169497e-05
1993-01-13,1.5253121657653311e-06,2.5619026810579262e-05
1993-01-14,1.646778261164221e-06,2.6163906597220253e-05
1993-01-15,1.646778261164221e-06,2.6163906597220253e-05
1993-01-18,1.3247858469688942e-06,2.2415196501639987e-05
1993-01-19,1.4384513827992187e-06,2.2978069347238464e-05
1993-01-20,1.4571125886914604e-06,2.3012319284717554e-05
1993-01-21,1.437448826224977e-06,2.2981725169232066e-05
1993-01-22,9.441783917081028e-07,1.8197568973828344e-05
1993-01-25,9.441783917081028e-07,1.8197568973828344e-05
1993-01-26,1.0776366503074664e-06,2.084851220466485e-05
1993-01-27,1.117364816424427e-06,2.1188616534817592e-05
1993-01-28,1.0037336878656435e-06,2.0577374273955882e-05
1993-01-29,1.1156225668068851e-06,2.1290657544329882e-05
1993-02-01,1.1548915080931862e-06,2.1632614590018884e-05
1993-02-02,9.655147288150843e-07,2.0324213786587876e-05
1993-02-03,9.64585922867457e-07,2.0323748989434406e-05
1993-02-04,9.80820055304942e-07,2.0360351083454184e-05
1993-02-05,9.80820055304942e-07,2.0360351083454184e-05
1993-02-08,9.330321268500194e-07,1.938172882487722e-05
1993-02-09,9.59759041936465e-07,1.9434963844903928e-05
1993-02-10,1.001215596561113e-06,1.955886626460698e-05
1993-02-11,1.17420817918274e-06,2.142985650799537e-05
1993-02-12,1.492445990954861e-06,2.695402499025409e-05
1993-02-16,1.4923278419473208e-06,2.6954015262742523e-05
1993-02-17,1.7560019812207737e-06,2.904012165436294e-05
1993-02-18,1.626338437457867e-06,2.768451208547485e-05
1993-02-19,1.622752829468244e-06,2.7681990336698483e-05
1993-02-22,1.5491011953677382e-06,2.644622006925564e-05
1993-02-23,2.839854727909722e-06,3.965728041661858e-05
1993-02-24,2.839854727909722e-06,3.965728041661858e-05
1993-02-25,2.332758310215784e-06,3.574143625979039e-05
1993-02-26,3.533168606426514e-06,5.557483795253584e-05
1993-03-01,3.589118761816199e-06,5.3435621426625435e-05
1993-03-02,3.3574392181090428e-06,5.2735789862557713e-05
1993-03-03,3.341116093251518e-06,5.272256802599209e-05
1993-03-04,3.6054180633944148e-06,5.544308160044475e-05
1993-03-05,2.411077163975138e-06,4.5136932754013895e-05
1993-03-08,2.4321343600801468e-06,4.517129783120809e-05
1993-03-09,2.538605147791852e-06,4.599598103763367e-05
1993-03-10,2.2023313301256828e-06,4.463722219933708e-05
1993-03-11,2.1693657169521104e-06,4.4592507875443336e-05
1993-03-12,3.2235334874214105e-06,6.0716265747936995e-05
1993-03-15,3.2175181769315147e-06,6.0704626070983115e-05
1993-03-16,1.9154653437426724e-06,3.6129320105834396e-05
1993-03-17,1.8289607215256973e-06,3.5512034594948815e-05
1993-03-18,1.8289607215256973e-06,3.5512034594948815e-05
1993-03-19,1.012676892895317e-06,2.077623828146976e-05
1993-03-22,1.3523113853416423e-06,2.861722065783412e-05
1993-03-23,1.3523113853416423e-06,2.861722065783412e-05
1993-03-24,1.3704848139747434e-06,2.8645689492166572e-05
1993-03-25,1.5425317839735456e-06,2.9464419458033484e-05
1993-03-26,1.6843160454178568e-06,3.194388483391158e-05
1993-03-29,1.7977973097465205e-06,3.2426229454556576e-05
1993-03-30,2.251445306427157e-06,3.527544899294062e-05
1993-03-31,2.251445306427157e-06,3.527544899294062e-05
1993-04-01,3.4790501050658056e-06,4.847302821451618e-05
1993-04-02,3.3068387735634584e-06,4.797893805264453e-05
1993-04-05,3.2630964402700717e-06,4.77337607317382e-05
1993-04-06,3.2630964402700717e-06,4.77337607317382e-05
1993-04-07,3.412871819529862e-06,4.8136612680556396e-05
1993-04-08,3.419534182607004e-06,4.814433701475496e-05
1993-04-12,3.419534182607004e-06,4.814433701475496e-05
1993-04-13,3.4613882562946745e-06,4.8394601003166875e-05
1993-04-14,3.716970331171777e-06,4.948936662865555e-05
1993-04-15,3.8575039420014315e-06,5.040210268353005e-05
1993-04-16,3.922713492854131e-06,5.062351974993297e-05
1993-04-19,2.9418311757337157e-06,4.167539086458818e-05
1993-04-20,2.9905931263796483e-06,4.197233945556979e-05
1993-04-21,2.3301592235898087e-06,3.102886516968691e-05
1993-04-22,2.4694714287568827e-06,3.2333722905266495e-05
1993-04-23,1.396820089286437e-06,2.348489986857005e-05
1993-04-26,1.5744311615056384e-06,2.56308858241663e-05
1993-04-27,1.3918470162803025e-06,2.459578281576089e-05
1993-04-28,1.4443197172176124e-06,2.472493802107399e-05
