,L1,L2
2018-02-13,3.208461598012236e-06,3.5237127153823754e-05
2018-02-14,3.538546786402025e-06,3.806578446182479e-05
2018-02-15,3.457459918120975e-06,3.784608114604425e-05
2018-02-16,3.1689573854860885e-06,3.4415387480696626e-05
2018-02-20,2.826748267888088e-06,3.270844139248124e-05
2018-02-21,2.8573012695370998e-06,3.27629182990993e-05
2018-02-22,3.309929665439914e-06,3.691244102297633e-05
2018-02-23,3.215310857784673e-06,3.6577968484395205e-05
2018-02-26,3.2777085887630803e-06,3.6682093583678776e-05
2018-02-27,3.2750391644184963e-06,3.670610438571995e-05
2018-02-28,3.29622042706737e-06,3.6782902188797615e-05
2018-03-01,3.422918774893979e-06,3.7557351416996976e-05
2018-03-02,3.4721232268952668e-06,3.7702827324602875e-05
2018-03-05,3.3859813593059916e-06,3.7560356283178144e-05
2018-03-06,3.350929332366008e-06,3.749480909656698e-05
2018-03-07,3.4437631275509227e-06,3.771427391292334e-05
2018-03-08,3.5918325192884774e-06,3.820256512174404e-05
2018-03-09,3.4869781830539966e-06,3.748371328191062e-05
2018-03-12,3.984287211927371e-06,4.025773735794999e-05
2018-03-13,4.103695170138158e-06,4.072219902674824e-05
2018-03-14,4.095862355372169e-06,4.071585451503319e-05
2018-03-15,4.430591100019866e-06,4.269911574504999e-05
2018-03-16,4.120745633233269e-06,4.151981397570156e-05
2018-03-19,4.256805770784699e-06,4.253488509346066e-05
2018-03-20,3.973212512560192e-06,4.0795174139937006e-05
2018-03-21,3.941955093148387e-06,4.0613818407731855e-05
2018-03-22,3.611644758994165e-06,3.791530152597244e-05
2018-03-23,3.611644758994165e-06,3.791530152597244e-05
2018-03-26,3.611644758994165e-06,3.791530152597244e-05
2018-03-27,3.611644758994165e-06,3.791530152597244e-05
2018-03-28,3.2831753953947453e-06,3.5490275288848494e-05
2018-03-29,3.234318921612167e-06,3.632061244601964e-05
2018-04-02,3.2140688355089995e-06,3.629418800015745e-05
2018-04-03,3.2206566579826405e-06,3.629914937034479e-05
2018-04-04,3.3761236341223977e-06,3.6984402372574296e-05
2018-04-05,3.242543411817499e-06,3.6033097778909303e-05
2018-04-06,3.2555026121047947e-06,3.6048000953478064e-05
2018-04-09,3.242372443827274e-06,3.6042199230993734e-05
2018-04-10,3.242372443827274e-06,3.6042199230993734e-05
2018-04-11,4.07683049226698e-06,4.3650697060618154e-05
2018-04-12,4.047908780859324e-06,4.304794999732371e-05
2018-04-13,3.3479812600267774e-06,3.779137007575602e-05
2018-04-16,4.895416584246234e-06,5.6593579173202777e-05
2018-04-17,4.886253489902112e-06,5.186578890870148e-05
2018-04-18,5.201299378387217e-06,5.481367571280696e-05
2018-04-19,5.223527001159831e-06,5.483519743130178e-05
2018-04-20,5.261232188148143e-06,5.484265323022816e-05
2018-04-23,5.425234452250644e-06,5.545465849994379e-05
2018-04-24,5.826600602041692e-06,5.892729951953621e-05
2018-04-25,5.8931708696462496e-06,5.904787205102999e-05
2018-04-26,6.301298136834237e-06,5.986871132828494e-05
2018-04-27,6.891877476567023e-06,6.308092146136054e-05
2018-04-30,6.523515257254056e-06,6.178822777395368e-05
2018-05-01,6.510361547605122e-06,6.173406123464405e-05
2018-05-02,6.459675254225647e-06,6.166385924260676e-05
2018-05-03,7.909454119377575e-06,8.564640205452765e-05
2018-05-04,7.978945306740323e-06,8.57704607610141e-05
2018-05-07,4.660226123978063e-06,4.7762555627912726e-05
2018-05-08,4.670509535360503e-06,4.797154504155383e-05
2018-05-09,4.645656772243899e-06,4.6246091873028456e-05
2018-05-10,4.645656772243899e-06,4.6246091873028456e-05
2018-05-11,4.053079343116245e-06,4.157450337293029e-05
2018-05-14,3.586639464904629e-06,3.8413262400847734e-05
2018-05-15,3.7443163600628544e-06,3.9010059755262446e-05
2018-05-16,4.29666377005106e-06,4.5159514732970425e-05
2018-05-17,3.839451714920123e-06,4.0969184826651664e-05
2018-05-18,3.9972679589990185e-06,4.1560110156775955e-05
2018-05-21,4.000570165250364e-06,4.1561598565674196e-05
2018-05-22,4.702808788371506e-06,4.677209864349895e-05
2018-05-23,4.581186194196842e-06,4.566827893120274e-05
2018-05-24,5.075853785299958e-06,4.8933940256971946e-05
2018-05-25,4.9087323441354e-06,4.8437310149436424e-05
2018-05-29,5.23925386340683e-06,5.0268636159129756e-05
2018-05-30,4.98081765222903e-06,4.8756166608822643e-05
2018-05-31,4.891566167698825e-06,4.828618686783603e-05
2018-06-01,4.201460456993364e-06,4.320933214557092e-05
2018-06-04,4.3501246995924275e-06,4.366739063498047e-05
2018-06-05,4.7454624745909975e-06,4.7259606982700236e-05
2018-06-06,4.565032758207886e-06,4.673587286580442e-05
2018-06-07,4.3230376222734945e-06,4.587842890765081e-05
2018-06-08,4.389723612628911e-06,4.7220405007872886e-05
2018-06-11,4.599243803092176e-06,4.694551246535489e-05
2018-06-12,4.612025077114262e-06,4.698541226962571e-05
2018-06-13,4.602540106156614e-06,4.696168194030948e-05
2018-06-14,4.602540106156614e-06,4.696168194030948e-05
2018-06-15,4.602882983260157e-06,4.696183812039803e-05
2018-06-18,4.967975594603275e-06,4.803317597398958e-05
2018-06-19,5.047187910290523e-06,4.8128127046837423e-05
2018-06-20,4.709503537065132e-06,4.5655056706357806e-05
2018-06-21,5.0714634249516686e-06,4.723926258273052e-05
2018-06-22,6.023152210633175e-06,5.796602006156028e-05
2018-06-25,5.953663096547163e-06,5.7732815307776054e-05
2018-06-26,5.3810340428127e-06,5.365499126136727e-05
2018-06-27,5.3810340428127e-06,5.365499126136727e-05
2018-06-28,5.2657050244613355e-06,5.3347136578671633e-05
2018-06-29,5.206345919823323e-06,5.318918779089441e-05
2018-07-02,5.1453691825941344e-06,5.312367678688638e-05
2018-07-03,5.712321926586394e-06,5.573737262090856e-05
2018-07-05,6.118356396227e-06,5.7855144200615655e-05
2018-07-06,5.6680350428036365e-06,5.550220535161614e-05
2018-07-09,5.60365438668268e-06,5.5316807730759154e-05
2018-07-10,5.604173885586054e-06,5.531688128770125e-05
2018-07-11,5.668301734042603e-06,5.586336800261e-05
2018-07-12,5.705826968974233e-06,5.591289537393219e-05
2018-07-13,5.594495798868528e-06,5.5680038919525855e-05
2018-07-16,5.906485020981552e-06,5.994880647564792e-05
2018-07-17,5.935223341505627e-06,5.9964769228861114e-05
2018-07-18,5.670292286291095e-06,5.889852289921719e-05
2018-07-19,6.33947854575095e-06,6.217437025140849e-05
2018-07-20,5.991666167539904e-06,5.556467402551721e-05
2018-07-23,6.036900063030886e-06,5.564848981384517e-05
2018-07-24,4.989451828930052e-06,4.888359006242206e-05
2018-07-25,4.989569201759675e-06,4.888359445753738e-05
